ROUND,TIME,CAGE,MORPH,TREATMENT,PLANT 1,PLANT 2,PLANT 3,PLANT 4,Dispersal,PropStay,PropLeave
1,24,1,W,C,4,0,1,0,0.4,0.8,0.2
1,24,2,W,C,7,0,0,0,0,1,0
1,24,3,W,C,7,0,0,0,0,1,0
1,24,4,W,C,6,0,0,0,0,1,0
1,24,5,W,C,4,0,0,0,0,1,0
1,24,6,W,C,4,0,0,0,0,1,0
1,24,7,W,C,6,0,0,0,0,1,0
1,24,8,W,C,6,0,0,0,0,1,0
1,24,9,W,C,6,0,0,0,0,1,0
1,24,10,W,C,6,1,0,0,0.142857143,0.857142857,0.142857143
2,24,1,W,C,7,1,0,0,0.125,0.875,0.125
2,24,2,W,C,10,0,0,0,0,1,0
2,24,3,W,C,6,0,0,0,0,1,0
2,24,8,W,C,9,0,1,0,0.2,0.9,0.1
2,24,7,W,C,9,0,0,0,0,1,0
2,24,6,W,C,4,2,1,0,0.571428571,0.571428571,0.428571429
2,24,5,W,C,8,2,0,0,0.2,0.8,0.2
2,24,4,W,C,6,2,0,0,0.25,0.75,0.25
1,24,1,W,P,7,2,1,0,0.4,0.7,0.3
1,24,2,W,P,5,1,0,0,0.166666667,0.833333333,0.166666667
1,24,3,W,P,5,0,0,0,0,1,0
1,24,4,W,P,3,0,0,1,0.75,0.75,0.25
1,24,5,W,P,4,0,1,0,0.4,0.8,0.2
1,24,6,W,P,3,1,1,0,0.6,0.6,0.4
1,24,7,W,P,7,0,0,0,0,1,0
1,24,8,W,P,6,0,1,0,0.285714286,0.857142857,0.142857143
1,24,9,W,P,5,1,0,0,0.166666667,0.833333333,0.166666667
1,24,10,W,P,4,1,0,0,0.2,0.8,0.2
2,24,1,W,P,5,1,0,0,0.166666667,0.833333333,0.166666667
2,24,2,W,P,10,0,0,0,0,1,0
2,24,3,W,P,6,0,0,0,0,1,0
2,24,4,W,P,4,1,0,0,0.2,0.8,0.2
2,24,5,W,P,7,0,0,2,0.666666667,0.777777778,0.222222222
2,24,6,W,P,6,1,1,0,0.375,0.75,0.25
2,24,7,W,P,6,0,0,1,0.428571429,0.857142857,0.142857143
2,24,8,W,P,6,1,0,2,0.777777778,0.666666667,0.333333333
1,24,1,WL,C,8,0,0,0,0,1,0
1,24,2,WL,C,9,1,0,1,0.363636364,0.818181818,0.181818182
1,24,3,WL,C,8,3,0,1,0.5,0.666666667,0.333333333
1,24,4,WL,C,9,1,0,0,0.1,0.9,0.1
1,24,5,WL,C,7,0,1,0,0.25,0.875,0.125
1,24,6,WL,C,10,1,1,1,0.461538462,0.769230769,0.230769231
1,24,7,WL,C,10,1,0,0,0.090909091,0.909090909,0.090909091
1,24,8,WL,C,7,0,0,1,0.375,0.875,0.125
2,24,1,WL,C,8,0,0,1,0.333333333,0.888888889,0.111111111
2,24,2,WL,C,9,1,0,0,0.1,0.9,0.1
2,24,7,WL,C,9,0,0,0,0,1,0
2,24,6,WL,C,7,0,0,1,0.375,0.875,0.125
2,24,5,WL,C,5,1,0,0,0.166666667,0.833333333,0.166666667
2,24,4,WL,C,4,0,0,2,1,0.666666667,0.333333333
2,24,3,WL,C,10,1,1,0,0.25,0.833333333,0.166666667
1,24,1,WL,P,9,1,0,1,0.363636364,0.818181818,0.181818182
1,24,2,WL,P,7,0,0,1,0.375,0.875,0.125
1,24,3,WL,P,8,0,0,1,0.333333333,0.888888889,0.111111111
1,24,4,WL,P,3,0,1,1,1,0.6,0.4
1,24,5,WL,P,7,1,0,0,0.125,0.875,0.125
1,24,6,WL,P,6,0,0,2,0.75,0.75,0.25
1,24,7,WL,P,4,1,0,2,1,0.571428571,0.428571429
1,24,8,WL,P,5,0,0,2,0.857142857,0.714285714,0.285714286
1,24,9,WL,P,9,0,0,0,0,1,0
1,24,10,WL,P,5,0,0,0,0,1,0
2,24,1,WL,P,4,1,0,1,0.666666667,0.666666667,0.333333333
2,24,2,WL,P,10,0,0,0,0,1,0
2,24,3,WL,P,7,2,0,0,0.222222222,0.777777778,0.222222222
2,24,4,WL,P,5,0,0,0,0,1,0
2,24,5,WL,P,10,0,0,0,0,1,0
2,24,6,WL,P,9,0,0,0,0,1,0
2,24,7,WL,P,5,0,0,0,0,1,0
2,24,8,WL,P,6,0,1,1,0.625,0.75,0.25
